pantone,hex
rhodamine-red-c,#e10098
purple-c,#bb29bb
violet-c,#440099
blue-072-c,#10069f
reflex-blue-c,#001489
process-blue-c,#0085ca
green-c,#00ab84
black-c,#2d2926
yellow-0131-c,#f2f0a1
red-0331-c,#fcaebb
magenta-0521-c,#f1b2dc
violet-0631-c,#bf9bde
blue-0821-c,#74d1ea
green-0921-c,#9de7d7
black-0961-c,#9e978e
801-c,#009ace
802-c,#44d62c
803-c,#ffe900
804-c,#ffaa4d
805-c,#ff7276
806-c,#ff3eb5
807-c,#ea27c2
871-c,#84754e
872-c,#85714d
873-c,#866d4b
874-c,#8b6f4e
875-c,#87674f
876-c,#8b634b
877-c,#8a8d8f
medium-yellow-c,#ffd900
bright-orange-c,#ff5e00
bright-red-c,#f93822
strong-red-c,#ce0056
pink-c,#d62598
medium-purple-c,#4e008e
dark-blue-c,#00239c
medium-blue-c,#0084ca
bright-green-c,#00b08b
neutral-black-c,#222223
